Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"Ög Fv1958;255","",": hegualtr : lakþi : s...(t)n : þena : ef(t)iR : uþa : (s)un : sin : kuþan :","Hegvaldr laid this stone in memory of Auði, his good son.","Sankt Lars kyrka","Linköping","Linköping","","I kyrkans undervåning.","","58.411528","15.62564"
"Ög Fv1959;97","","§A ...uru : ... §B ...-k : ku-...","§A ... ... §B ... ...","Tingstads kyrka","Tingstads sn","Norrköping","Lösings hd","","","58.529272","16.29152"
"Ög Fv1959;241","","... ---- × stain × þansi × ifti- × r(a)-...","... ... this stone in memory of ...","Östra Eneby kyrka","Östra Eneby sn (nu Norrköping)","Norrköping","Bråbo hd","I koret.","","58.609639","16.136432"
"Ög Fv1959;243","","°","°","Östra Eneby kyrka","Östra Eneby sn (nu Norrköping)","Norrköping","Bråbo hd","I vapenhuset.","","58.60963","16.136432"
"Ög Fv1959;244","","... ...ftiR · su-...","... in memory of ...","Franciskanerklostret","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.480664","16.317522"
"Ög Fv1959;245","","...(k)r(u)... ...ans : -...","... ... ...","Franciskanerklostret","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.480664","16.317522"
"Ög Fv1959;246","Ög N285","...r : lit : ... ¶ ... yfiR : -...","... had ... over ...","Franciskanerklostret","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.480664","16.317522"
"Ög Fv1959;247","Ög N287","°","°","Franciskanerklostret","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.480664","16.317522"
"Ög Fv1959;248","Ög N286","...fi... ...(k)þu : yfiR : mu...","... laid over ...","Hospitalsgatan 9","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.480874","16.316513"
"Ög Fv1959;249","","þor... ... ...(r) · þau (l)itu · reisa · s... ... ...(t)ein · sun · s...","Þor-... ... ... they had the stone raised ... ...-steinn, their son.","Söderköping, Korskullen","Söderköping","Söderköping","","S:t Ragnhilds gilles samlingar","","58.477667","16.334738"
"Ög Fv1965;54","",": haukR · risþi · ift · hifan · trik · kuml · ift · sun · sin · ukiþila · trik · alkuþan saR · hit · krimar","Haukr raised the monument in memory of a competent valiant man, in memory of his son <ukiþila>, an excellent valiant man. He was called Grímarr.","Viby kyrka","Viby sn","Mjölby","Vifolka hd","","http://kulturarvsdata.se/raa/kmb/html/16000300028436","58.368224","15.311257"
"Ög Fv1966;102","","kunuatr : raisþi : stin : þansi : eftiR : þurstin : auk : þurlak : suni : sina","Gunnhvatr raised this stone in memory of Þorsteinn and Þorlakr, his sons.","Sankt Laurentius kyrka","Söderköping","Söderköping","","","","58.480495","16.319353"
"Ög Fv1969;306","","°","°","Fivelstads kyrka","Fivelstads sn","Motala","Aska hd","I kyrkans vapenhus.","","58.441885","15.00213"
"Ög Fv1970;310","","hakun + raiþi × kuml × þausi × eftiR × kunar + sun × sin × han × uarþ × taurþ × uastr +","Hákon raised these monuments in memory of Gunnarr, his son. He died in the west.","Kullerstads kyrka","Kullerstads sn","Norrköping","Memmings hd","På kyrkogården.","","58.580381","15.943404"
"Ög Fv1975;174","","...-- · iarl × ristu ...n · þinsa · aftiR · bruþr · utruks","... (and) Jarl raised this stone in memory of Ótryggr's brother(s).","Harstads ödekyrkogård","Väderstads sn","Mjölby","Göstrings hd","","","58.310205","14.910833"
"Ög Fv1983;240","","+ tufi + karþi × uþ × þans- hftiR + tuli sua sa","Tófi made this ford in memory of Tólir, his son.","Prästgården","Appuna sn","Mjölby","Göstrings hd","","","58.343307","14.960829"
"Ög Fv2001;149","Ög ATA4399/63","... sin : kuþan :¶: ku... ...","... his good ... ... ...","Klåstads kyrkoruin, Klosterstad","Sankt Per sn","Vadstena","Dals hd","","","58.445762","14.959983"
"Ög HADS30;10V","","[...]","...","Västra Tollstads kyrka","Västra Tollstads sn","Ödeshög","Lysings hd","","","58.27772","14.655936"
"Ög HADS30;13R","","[: giærmun · kiærþæ : mik :]","Geirmundr made me.","Strå kyrka","Strå sn","Vadstena","Dals hd","","","58.408761","14.895623"
"Ög Hedvall2013;13","","°","°","Herrestads Klockaregård","Herrestads sn","Vadstena","Dals hd","","","58.390051","14.812324"
"Ög HedvallMenander26","","°","°","Klåstads kyrkoruin, Klosterstad","Sankt Per sn","Vadstena","Dals hd","","","58.445762","14.959983"
"Ög HedvallMenander27","","°","°","Klåstads kyrkoruin, Klosterstad","Sankt Per sn","Vadstena","Dals hd","","","58.445762","14.959983"
"Ög HedvallMenander114","","°","°","Örberga kyrka","Örberga sn","Vadstena","Dals hd","I sockenmagasinet.","","58.434625","14.802627"
"Ög HedvallMenander122","","...---...","...","Skänninge, Vårfrukyrkan","Skänninge","Mjölby","","I golvet i vapenhuset.","","58.394892","15.086479"
"Ög HedvallMenander123","","°","°","Linköpings domkyrka","Linköping","Linköping","","","","58.4106","15.617005"
"Ög HedvallMenander125","","°","°","Linköping","Linköping","Linköping","","Rhyzeliusgården, Östergötlands länsmuseum, Linköping (C 4310).","","58.407009","15.617024"
"Ög HedvallMenander128","","°","°","Sankt Lars kyrka","Linköping","Linköping","","","","58.411528","15.62564"
"Ög HedvallMenander129","","°","°","Sankt Lars kyrka","Linköping","Linköping","","","","58.411528","15.62564"
"Ög HedvallMenander132","","°","°","Sankt Lars kyrka","Linköping","Linköping","","","","58.411528","15.62564"
"Ög HedvallMenander133","","°","°","Sankt Lars kyrka","Linköping","Linköping","","","","58.411528","15.62564"
"Ög HedvallMenander134","","°","°","Sankt Lars kyrka","Linköping","Linköping","","","","58.411528","15.62564"
"Ög HedvallMenander165","","°","°","Vårdsbergs kyrka","Vårdsbergs sn","Linköping","Bankekinds hd","I kyrkan.","","58.403932","15.751786"
"Ög HedvallMenander167","","°","°","Vårdsbergs kyrka","Vårdsbergs sn","Linköping","Bankekinds hd","I hembygdsföreningens samlingar i gamla småskolan SSO om kyrkan.","","58.403932","15.751786"
"Ög HedvallMenander443","","°","°","Skänninge 3:3","Skänninge","Mjölby","","","","58.399742","15.086894"
"Ög HedvallMenander473","","°","°","Alvastra kloster","Västra Tollstads sn","Ödeshög","Lysings hd","SHM (21068:1785)","http://kulturarvsdata.se/gnm/photo/html/GNM3645:001;http://kulturarvsdata.se/S-OLM/photo/html/OLM-954001251-1;http://kulturarvsdata.se/gnm/photo/html/GNM3643:001;http://kulturarvsdata.se/gnm/photo/html/GNM3642:001;http://kulturarvsdata.se/gnm/photo/html/GNM3644:001;http://kulturarvsdata.se/MILI/photo/html/MILIF007335;http://kulturarvsdata.se/upmu/photo/html/WEN317;http://kulturarvsdata.se/gnm/photo/html/GNM3598:001;http://kulturarvsdata.se/S-OLM/photo/html/OLM-1936340-1","58.296497","14.657203"
"Ög HedvallMenander494","","°","°","Älvestads kyrka","Älvestads sn","Motala","Bobergs hd","","","58.445629","15.296608"
"Ög HedvallMenander496","","°","°","Älvestads kyrka","Älvestads sn","Motala","Bobergs hd","","","58.445629","15.296608"
"Ög HedvallMenander497","","°","°","Älvestads kyrka","Älvestads sn","Motala","Bobergs hd","","","58.445629","15.296608"
"Ög Hov;7","","...","...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I östgavelns norra del, i nedre opis spicatum-bandet den södra stenen i det högerlutande skiftet.","","58.378752","14.918104"
"Ög Hov1;14","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I vapenhuset.","","58.378778","14.918069"
"Ög Hov4;18","Ög N295","... ...-in : þ...na : ...fiR : ...","... this stone over ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I vapenhuset.","","58.378778","14.918069"
"Ög Hov5;18","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov7;19","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov8;19","","... ...-n ' þasi · ifi... ...","... this stone over ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov10;20","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov11;21","","...-k lun-a : -... ...(a)lbi · siao- ...","... may help the soul ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov12;21","Ög Hov32;27;Ög N297","... : lagþi : hual... ... uarþ : t... ...","... laid the vault ... died(?) ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov13;22","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov14;22","","...(o)rstein : auk : þiuþstin : b...","Þorsteinn and Þjóðsteinn ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov15;22","",": þors---n : au- : þiuþs-... ... ...bi : guþ : ...","Þorsteinn and Þjóðsteinn ... May God help ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov16;23","Ög N299","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov17;23","","... ...iR × krima... ...","... over Grímarr(?) ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov18;24","Ög N298","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov19;24","","... ...ur × si... ...","... his father/brother/mother/sister ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov20;24","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov21;24","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov22-23;25","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov24;25","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov25;25","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov26;25","",": þors...","Þorsteinn","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov27;25","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov28;26","","...k × tul...","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov29;26","","...- ' aki...","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov30;26","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov31;27","","...-n : lagþ... ...","... laid ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov33;27","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov34;28","","... ...(u)mbl × þeta × ...","... this monument ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov35;28","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov36;28","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov37;28","","... ...stin × ... ¶ × (k)...","... ...-steinn/stone ... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov38;29","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov39;29","",": helgi : auk : (s)(u)ein ... kuþ h... ...","Helgi and Sveinn ... May God help ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov41;30","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov42;30","Ög N296","[...ati : -...]","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren, försvunnen.","","58.378778","14.918069"
"Ög Hov43;30","","[...u : s-...]","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren, försvunnen.","","58.378778","14.918069"
"Ög Hov44;30","","...k : ...","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov45-69;31","Ög N300","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov70-87;31","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov88;32","","...","...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov89;32","","...ul : -...","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov90;32","","... × -a(g)þ... ...","... laid ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov91;33","","...i ' eftR ' n...","... in memory of ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov92;33","","... þes...","... ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov93;33","","...þur : þaiR : bo-...","... they ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov94;34","","... (k)uþ : hialb... ...","... May God help ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov95;34","","...(n)yasi : lagi : stei(n) ... ...-(u)(r) : sina : ...","... laid the stone ... his mother/daughter ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov96;35","","kistein × auk ...","Gíssteinn(?) and ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov97;35","","... ...in × fahran × þi- × þ...","... the fair stone. They ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I tornkammaren.","","58.378778","14.918069"
"Ög Hov98-99;36","","°","°","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I södra långhusmuren.","","58.378778","14.918069"
"Ög Hov100;36","","...--- × lagþu × s... ...","... laid the stone ...","Hovs kyrka","Hovs sn","Vadstena","Göstrings hd","I södra långhusmuren.","","58.378778","14.918069"
"Ög HovRaä50","","...-þ...","...","Furåsa","Hovs sn","Vadstena","Göstrings hd","Förvararas f.n. hos privatperson i Linköping.","","58.360895","14.918245"
"Ög KJ54","Ög N250;KJ 54","braido","Braido.","Himmelstalund","Östra Eneby sn (nu Norrköping)","Norrköping","Bråbo hd","I anslutning till en hällristningsfigur.","http://kulturarvsdata.se/shfa/bild/html/9049;http://kulturarvsdata.se/shfa/bild/html/9121;http://kulturarvsdata.se/shfa/bild/html/585;http://kulturarvsdata.se/shfa/bild/html/2201;http://kulturarvsdata.se/shfa/bild/html/9060;http://kulturarvsdata.se/shfa/bild/html/11035;http://kulturarvsdata.se/shfa/bild/html/11006;http://kulturarvsdata.se/shfa/bild/html/11050;http://kulturarvsdata.se/shfa/bild/html/9165;http://kulturarvsdata.se/shfa/bild/html/11046;http://kulturarvsdata.se/shfa/bild/html/9059;http://kulturarvsdata.se/shfa/bild/html/11012;http://kulturarvsdata.se/shfa/bild/html/2246;http://kulturarvsdata.se/shfa/bild/html/2133;http://kulturarvsdata.se/shfa/bild/html/9053;http://kulturarvsdata.se/shfa/bild/html/9166;http://kulturarvsdata.se/shfa/bild/html/9110;http://kulturarvsdata.se/shfa/bild/html/11042;http://kulturarvsdata.se/shfa/bild/html/2245;http://kulturarvsdata.se/shfa/bild/html/9106;http://kulturarvsdata.se/shfa/bild/html/10692;http://kulturarvsdata.se/shfa/bild/html/10680;http://kulturarvsdata.se/shfa/bild/html/13106;http://kulturarvsdata.se/shfa/bild/html/2202;http://kulturarvsdata.se/shfa/bild/html/8905;http://kulturarvsdata.se/shfa/bild/html/10691;http://kulturarvsdata.se/shfa/bild/html/11034;http://kulturarvsdata.se/shfa/bild/html/9087;http://kulturarvsdata.se/shfa/bild/html/9057;http://kulturarvsdata.se/shfa/bild/html/9108;http://kulturarvsdata.se/shfa/bild/html/11047;http://kulturarvsdata.se/shfa/bild/html/11014;http://kulturarvsdata.se/shfa/bild/html/9045;http://kulturarvsdata.se/shfa/bild/html/9107;http://kulturarvsdata.se/shfa/bild/html/9104;http://kulturarvsdata.se/shfa/bild/html/11024;http://kulturarvsdata.se/shfa/bild/html/11009;http://kulturarvsdata.se/shfa/bild/html/8901;http://kulturarvsdata.se/shfa/bild/html/9052;http://kulturarvsdata.se/shfa/bild/html/11054;http://kulturarvsdata.se/shfa/bild/html/8897;http://kulturarvsdata.se/shfa/bild/html/9114;http://kulturarvsdata.se/shfa/bild/html/587;http://kulturarvsdata.se/shfa/bild/html/9067;http://kulturarvsdata.se/shfa/bild/html/9044;http://kulturarvsdata.se/shfa/bild/html/8898;http://kulturarvsdata.se/shfa/bild/html/10697;http://kulturarvsdata.se/shfa/bild/html/9115;http://kulturarvsdata.se/shfa/bild/html/9063;http://kulturarvsdata.se/shfa/bild/html/11052;http://kulturarvsdata.se/shfa/bild/html/9077;http://kulturarvsdata.se/shfa/bild/html/11016;http://kulturarvsdata.se/shfa/bild/html/9126;http://kulturarvsdata.se/shfa/bild/html/9120;http://kulturarvsdata.se/shfa/bild/html/10696;http://kulturarvsdata.se/shfa/bild/html/2131;http://kulturarvsdata.se/shfa/bild/html/11015;http://kulturarvsdata.se/shfa/bild/html/9119;http://kulturarvsdata.se/shfa/bild/html/9064;http://kulturarvsdata.se/shfa/bild/html/2248;http://kulturarvsdata.se/shfa/bild/html/11020;http://kulturarvsdata.se/shfa/bild/html/11029;http://kulturarvsdata.se/shfa/bild/html/10689;http://kulturarvsdata.se/shfa/bild/html/8896;http://kulturarvsdata.se/shfa/bild/html/9055;http://kulturarvsdata.se/shfa/bild/html/9112;http://kulturarvsdata.se/shfa/bild/html/8900;http://kulturarvsdata.se/shfa/bild/html/10693;http://kulturarvsdata.se/shfa/bild/html/9042;http://kulturarvsdata.se/shfa/bild/html/11007;http://kulturarvsdata.se/shfa/bild/html/9102;http://kulturarvsdata.se/shfa/bild/html/9071;http://kulturarvsdata.se/shfa/bild/html/11031;http://kulturarvsdata.se/shfa/bild/html/9127;http://kulturarvsdata.se/shfa/bild/html/9041;http://kulturarvsdata.se/shfa/bild/html/9100;http://kulturarvsdata.se/shfa/bild/html/9101;http://kulturarvsdata.se/shfa/bild/html/11041;http://kulturarvsdata.se/shfa/bild/html/2203;http://kulturarvsdata.se/shfa/bild/html/9084;http://kulturarvsdata.se/shfa/bild/html/9066;http://kulturarvsdata.se/shfa/bild/html/11022;http://kulturarvsdata.se/shfa/bild/html/589;http://kulturarvsdata.se/shfa/bild/html/10690;http://kulturarvsdata.se/shfa/bild/html/9118;http://kulturarvsdata.se/shfa/bild/html/9065;http://kulturarvsdata.se/shfa/bild/html/9043;http://kulturarvsdata.se/shfa/bild/html/11045;http://kulturarvsdata.se/shfa/bild/html/590;http://kulturarvsdata.se/shfa/bild/html/9070;http://kulturarvsdata.se/shfa/bild/html/9128;http://kulturarvsdata.se/shfa/bild/html/2204;http://kulturarvsdata.se/shfa/bild/html/2135;http://kulturarvsdata.se/shfa/bild/html/11048;http://kulturarvsdata.se/shfa/bild/html/9050;http://kulturarvsdata.se/shfa/bild/html/8902;http://kulturarvsdata.se/shfa/bild/html/9085;http://kulturarvsdata.se/shfa/bild/html/10701;http://kulturarvsdata.se/shfa/bild/html/10683;http://kulturarvsdata.se/shfa/bild/html/11026;http://kulturarvsdata.se/shfa/bild/html/8899;http://kulturarvsdata.se/shfa/bild/html/10687;http://kulturarvsdata.se/shfa/bild/html/9099;http://kulturarvsdata.se/shfa/bild/html/9083;http://kulturarvsdata.se/shfa/bild/html/11049;http://kulturarvsdata.se/shfa/bild/html/9086;http://kulturarvsdata.se/shfa/bild/html/9089;http://kulturarvsdata.se/shfa/bild/html/9111;http://kulturarvsdata.se/shfa/bild/html/11038;http://kulturarvsdata.se/shfa/bild/html/9079;http://kulturarvsdata.se/shfa/bild/html/9122;http://kulturarvsdata.se/shfa/bild/html/10695;http://kulturarvsdata.se/shfa/bild/html/9098;http://kulturarvsdata.se/shfa/bild/html/9082;http://kulturarvsdata.se/shfa/bild/html/9117;http://kulturarvsdata.se/shfa/bild/html/9081;http://kulturarvsdata.se/shfa/bild/html/9090;http://kulturarvsdata.se/shfa/bild/html/9074;http://kulturarvsdata.se/shfa/bild/html/9124;http://kulturarvsdata.se/shfa/bild/html/11027;http://kulturarvsdata.se/shfa/bild/html/9069;http://kulturarvsdata.se/shfa/bild/html/11044;http://kulturarvsdata.se/shfa/bild/html/10685;http://kulturarvsdata.se/shfa/bild/html/11004;http://kulturarvsdata.se/shfa/bild/html/9125;http://kulturarvsdata.se/shfa/bild/html/9072;http://kulturarvsdata.se/shfa/bild/html/8903;http://kulturarvsdata.se/shfa/bild/html/2134;http://kulturarvsdata.se/shfa/bild/html/11019;http://kulturarvsdata.se/shfa/bild/html/10682;http://kulturarvsdata.se/shfa/bild/html/11017;http://kulturarvsdata.se/shfa/bild/html/9056;http://kulturarvsdata.se/shfa/bild/html/11005;http://kulturarvsdata.se/shfa/bild/html/9091;http://kulturarvsdata.se/shfa/bild/html/11011;http://kulturarvsdata.se/shfa/bild/html/9163;http://kulturarvsdata.se/shfa/bild/html/9103;http://kulturarvsdata.se/shfa/bild/html/11043;http://kulturarvsdata.se/shfa/bild/html/586;http://kulturarvsdata.se/shfa/bild/html/9109;http://kulturarvsdata.se/shfa/bild/html/9075;http://kulturarvsdata.se/shfa/bild/html/11028;http://kulturarvsdata.se/shfa/bild/html/9093;http://kulturarvsdata.se/shfa/bild/html/10698;http://kulturarvsdata.se/shfa/bild/html/11021;http://kulturarvsdata.se/shfa/bild/html/2206;http://kulturarvsdata.se/shfa/bild/html/9047;http://kulturarvsdata.se/shfa/bild/html/11036;http://kulturarvsdata.se/shfa/bild/html/11030;http://kulturarvsdata.se/shfa/bild/html/10688;http://kulturarvsdata.se/shfa/bild/html/11033;http://kulturarvsdata.se/shfa/bild/html/9051;http://kulturarvsdata.se/shfa/bild/html/2118;http://kulturarvsdata.se/shfa/bild/html/9164;http://kulturarvsdata.se/shfa/bild/html/9073;http://kulturarvsdata.se/shfa/bild/html/11008;http://kulturarvsdata.se/shfa/bild/html/9162;http://kulturarvsdata.se/shfa/bild/html/11010;http://kulturarvsdata.se/shfa/bild/html/10699;http://kulturarvsdata.se/shfa/bild/html/10694;http://kulturarvsdata.se/shfa/bild/html/9094;http://kulturarvsdata.se/shfa/bild/html/11051;http://kulturarvsdata.se/shfa/bild/html/11013;http://kulturarvsdata.se/shfa/bild/html/11039;http://kulturarvsdata.se/shfa/bild/html/9092;http://kulturarvsdata.se/shfa/bild/html/2207;http://kulturarvsdata.se/shfa/bild/html/9062;http://kulturarvsdata.se/shfa/bild/html/9076;http://kulturarvsdata.se/shfa/bild/html/9058;http://kulturarvsdata.se/shfa/bild/html/10681;http://kulturarvsdata.se/shfa/bild/html/11018;http://kulturarvsdata.se/shfa/bild/html/9048;http://kulturarvsdata.se/shfa/bild/html/9095;http://kulturarvsdata.se/shfa/bild/html/11023;http://kulturarvsdata.se/shfa/bild/html/9116;http://kulturarvsdata.se/shfa/bild/html/9046;http://kulturarvsdata.se/shfa/bild/html/9080;http://kulturarvsdata.se/shfa/bild/html/9068;http://kulturarvsdata.se/shfa/bild/html/11037;http://kulturarvsdata.se/shfa/bild/html/9061;http://kulturarvsdata.se/shfa/bild/html/8904;http://kulturarvsdata.se/shfa/bild/html/10686;http://kulturarvsdata.se/shfa/bild/html/13105;http://kulturarvsdata.se/shfa/bild/html/2205;http://kulturarvsdata.se/shfa/bild/html/9078;http://kulturarvsdata.se/shfa/bild/html/9096;http://kulturarvsdata.se/shfa/bild/html/11053;http://kulturarvsdata.se/shfa/bild/html/9105;http://kulturarvsdata.se/shfa/bild/html/8721;http://kulturarvsdata.se/shfa/bild/html/2130;http://kulturarvsdata.se/shfa/bild/html/10700;http://kulturarvsdata.se/shfa/bild/html/9054;http://kulturarvsdata.se/shfa/bild/html/11040;http://kulturarvsdata.se/shfa/bild/html/591;http://kulturarvsdata.se/shfa/bild/html/9097;http://kulturarvsdata.se/shfa/bild/html/9123;http://kulturarvsdata.se/shfa/bild/html/10684;http://kulturarvsdata.se/shfa/bild/html/11003;http://kulturarvsdata.se/shfa/bild/html/588;http://kulturarvsdata.se/shfa/bild/html/11032;http://kulturarvsdata.se/shfa/bild/html/2247;http://kulturarvsdata.se/shfa/bild/html/2120;http://kulturarvsdata.se/shfa/bild/html/9088;http://kulturarvsdata.se/shfa/bild/html/9113","58.593439","16.144809"
"Ög KJ59","Ög N269;KJ 59","§A ekA sigimArAz Afs... §B ...kA rAisidokA ¶ stAinAz -... ¶ kk ' kiiii ' kkk...","§A I Sigimarz ... off §B ... raised the stone ... ... ... ...","Ällerstad, Patergärdet, (Ellestad, ""Söderköpingsstenen"")","Drothems sn","Söderköping","Hammarkinds hd","SHM (21463)","http://kulturarvsdata.se/raa/kmb/html/16001000020452;http://kulturarvsdata.se/shm/media/html/24387","58.477104","16.297913"
"Ög MÖLM1960;230","","...---a : oliR : ristu : stin : þins- : (i)f(t)iR · (t)rik · (a)ukis : sun : kilta : sin :","... Ôlvir raised this stone in memory of Drengr, Eygeirr's(?) son, his guild-brother.","Törnevalla kyrka","Törnevalla sn","Linköping","Åkerbo hd","","http://kulturarvsdata.se/raa/kmb/html/16000300013355","58.451524","15.829419"
"Ög MÖLM2003;174","Ög F7;54","akn","...","?","?","?","?","Östergötlands länsmuseum, Linköping (C 3591)","","0","0"
"Ög N251","","...---- : lahþi : ste : þn : yf... ...(a) : kuþ : hi(a)... ...n : auk : ...","... laid this stone over ... May God help ... and ...","Väversunda kyrka","Väversunda sn","Vadstena","Dals hd","","","58.346598","14.710396"
"Ög N252","","...-þ-...","...","Väversunda kyrka","Väversunda sn","Vadstena","Dals hd","","","58.346598","14.710396"
"Ög N253","","...-(f)(b)(i)(r) hu(k)-...-uli(n)...","... ...","Väversunda kyrka","Väversunda sn","Vadstena","Dals hd","","","58.346598","14.710396"
"Ög N254","","°","°","Väversunda kyrka","Väversunda sn","Vadstena","Dals hd","","","58.346598","14.710396"
"Ög N255","","°","°","Herrestads kyrka","Herrestads sn","Vadstena","Dals hd","","","58.389989","14.811368"
"Ög N256","","...rkeiR : a... ...(l) × lagþ... ... kuþ × ...","...-geirr and ... laid ... God ...","Herrestads kyrka","Herrestads sn","Vadstena","Dals hd","","","58.389989","14.811368"
